"country","year","militaryexpenditures","lifeExp","GDPpercap","GDP","HIV","healthcare","womenEd","menEd"
"Albania",1988,5.61500470366886,73.25,2027258.01621342,6476793382131.54,NA,NA,6.2,7.5
"Algeria",1988,1.74535042784505,69.33,3666305.75609198,88120527762135.2,NA,NA,1.7,2.3
"Argentina",1988,1.98087554699177,72.05,12721177.2379247,403631886335156,NA,NA,7.7,7.8
"Australia",1988,2.2790579893644,76.3,33665397.303207,554828538635020,NA,NA,10.1,10.5
"Austria",1988,1.2988091288345,75.34,35841147.879356,271866468308794,NA,NA,9.1,10.4
"Bahrain",1988,5.02837451397743,71.41,19184142.9074351,8866603905529.96,NA,NA,3.6,5.3
"Bangladesh",1988,1.13810100646432,56.94,542211.543806736,54254946088506.6,NA,NA,1.2,3.5
"Belgium",1988,2.55517260823274,75.53,35350692.0945368,350031939690750,NA,NA,9.4,10
"Belize",1988,0.984439504604636,71.61,4161993.27138818,748616511998.514,NA,NA,6,6.5
"Benin",1988,2.27937981020953,54.67,626601.84618169,2816100334387.3,NA,NA,0.6,1.9
"Botswana",1988,3.53612639066959,62.85,4111527.53105806,5349504245145.46,NA,NA,2.7,2.7
"Brazil",1988,2.12849101627132,67.04,7027998.97346648,1015337661252316,NA,NA,4.1,4.3
"Brunei",1988,6.62997709980055,73.26,40361037.4013664,9618237017932.64,NA,NA,NA,NA
"Burkina Faso",1988,1.79675378503471,51.42,346724.794737458,3064237929808.2,NA,NA,0.3,0.8
"Burundi",1988,3.15864283646127,46.54,365198.601828218,1943261201776.94,NA,NA,0.8,2
"Cameroon",1988,1.24846072578515,58.01,1529915.93490933,19075864530715.6,NA,NA,1.7,3.8
"Canada",1988,1.98680789568973,76.82,39319340.512062,1057493663071908,NA,NA,12,12.1
"Cape Verde",1988,1.92145885374675,67.85,1553086.86595463,526274356136.788,NA,NA,1.3,2.6
"Chile",1988,4.93600584370088,72.47,5542380.16727598,70573393503413.4,NA,NA,7.5,7.9
"Colombia",1988,2.03727653463183,71.14,4411257.7934733,140777572777562,NA,NA,4.7,5.1
"Cote d'Ivoire",1988,1.25062037391632,55.5,1393719.03690971,16298508334827.1,NA,NA,0.7,2.3
"Cuba",1988,6.12090321826698,74.67,6968338.5730208,72237281817220,NA,NA,7.6,8.1
"Cyprus",1988,5.68881978954745,76.47,19093427.6926,10685426780466.9,NA,NA,8.1,9.6
"Denmark",1988,2.04929593171463,75.06,47268181.9204284,242462895451748,NA,NA,10.8,11.3
"Djibouti",1988,7.84748568342016,60.42,NA,NA,NA,NA,0.6,3
"Dominican Republic",1988,0.879743034786666,70.58,3905987.19466278,26979321477346,NA,NA,NA,NA
"Ecuador",1988,2.17725982362742,70.06,2625728.7755292,25712863899516.2,NA,NA,5.2,5.9
"Egypt",1988,6.46372917299543,64.27,2171555.36332034,118205836611477,NA,NA,2.5,5.1
"El Salvador",1988,5.08842641909102,65.28,3048728.46765272,15821574550234.2,NA,NA,4.1,4.9
"Ethiopia",1988,5.68059091583664,44.4,266973.779737074,12180431305679.3,NA,NA,0.3,1.1
"Fiji",1988,2.22348198538675,64.66,3250604.05730156,2349383834226.88,NA,NA,6.1,7.3
"Finland",1988,1.59012240892272,74.85,38030807.3415446,188118665929611,NA,NA,9.5,9.7
"France",1988,3.60643407726027,76.78,35408099.6597366,2041947291526560,NA,NA,8,8.3
"Gambia",1988,0.810531310003912,60.26,1164377.15174276,1038013364606.67,NA,NA,0.7,1.9
"Germany",1988,2.58840442120357,75.33,36438702.230806,2847488502680780,NA,NA,9.3,10.4
"Ghana",1988,0.47564869049384,56.89,429930.361954424,6017253247366.82,NA,NA,2.6,5.2
"Greece",1988,3.78220571881856,76.32,18948379.4085547,190184562001213,NA,NA,7,8.3
"Guatemala",1988,1.5916281779887,63.45,2821235.38713522,24051626955994.4,NA,NA,2.1,3.1
"Guyana",1988,2.02754960355881,63.8,1309265.4914536,959437607730.146,NA,NA,6.2,7.3
"Hungary",1988,3.80334415467201,70.09,8778945.59110426,93025982829843.6,NA,NA,9.1,9.5
"India",1988,3.47911512083923,57.65,590393.993619112,494572856576682,NA,NA,1.5,4.1
"Indonesia",1988,0.942077014290471,63.1,1031388.99090726,183594253826631,NA,NA,2.9,4.8
"Iran",1988,1.95178992312952,62.67,2247909.5050224,116465868395702,NA,NA,2.1,4.1
