"country","year","militaryexpenditures","lifeExp","GDPpercap","lit","HIV","HC"
"Albania",1988,5.61500470366886,73.25,2027258.01621342,NA,NA,NA
"Algeria",1988,1.74535042784505,69.33,3666305.75609198,NA,NA,NA
"Argentina",1988,1.98087554699177,72.05,12721177.2379247,NA,NA,NA
"Australia",1988,2.2790579893644,76.3,33665397.303207,NA,NA,NA
"Austria",1988,1.2988091288345,75.34,35841147.879356,NA,NA,NA
"Bahrain",1988,5.02837451397743,71.41,19184142.9074351,NA,NA,NA
"Bangladesh",1988,1.13810100646432,56.94,542211.543806736,NA,NA,NA
"Belgium",1988,2.55517260823274,75.53,35350692.0945368,NA,NA,NA
"Belize",1988,0.984439504604636,71.61,4161993.27138818,NA,NA,NA
"Benin",1988,2.27937981020953,54.67,626601.84618169,NA,NA,NA
"Botswana",1988,3.53612639066959,62.85,4111527.53105806,NA,NA,NA
"Brazil",1988,2.12849101627132,67.04,7027998.97346648,NA,NA,NA
"Brunei",1988,6.62997709980055,73.26,40361037.4013664,NA,NA,NA
"Burkina Faso",1988,1.79675378503471,51.42,346724.794737458,NA,NA,NA
"Burundi",1988,3.15864283646127,46.54,365198.601828218,NA,NA,NA
"Cameroon",1988,1.24846072578515,58.01,1529915.93490933,NA,NA,NA
"Canada",1988,1.98680789568973,76.82,39319340.512062,NA,NA,NA
"Cape Verde",1988,1.92145885374675,67.85,1553086.86595463,NA,NA,NA
"Chile",1988,4.93600584370088,72.47,5542380.16727598,NA,NA,NA
"Colombia",1988,2.03727653463183,71.14,4411257.7934733,NA,NA,NA
"Cote d'Ivoire",1988,1.25062037391632,55.5,1393719.03690971,34.1392783603934,NA,NA
"Cuba",1988,6.12090321826698,74.67,6968338.5730208,NA,NA,NA
"Cyprus",1988,5.68881978954745,76.47,19093427.6926,NA,NA,NA
"Denmark",1988,2.04929593171463,75.06,47268181.9204284,NA,NA,NA
"Djibouti",1988,7.84748568342016,60.42,NA,NA,NA,NA
"Dominican Republic",1988,0.879743034786666,70.58,3905987.19466278,NA,NA,NA
"Ecuador",1988,2.17725982362742,70.06,2625728.7755292,NA,NA,NA
"Egypt",1988,6.46372917299543,64.27,2171555.36332034,NA,NA,NA
"El Salvador",1988,5.08842641909102,65.28,3048728.46765272,NA,NA,NA
"Ethiopia",1988,5.68059091583664,44.4,266973.779737074,NA,NA,NA
"Fiji",1988,2.22348198538675,64.66,3250604.05730156,NA,NA,NA
"Finland",1988,1.59012240892272,74.85,38030807.3415446,NA,NA,NA
"France",1988,3.60643407726027,76.78,35408099.6597366,NA,NA,NA
"Gambia",1988,0.810531310003912,60.26,1164377.15174276,NA,NA,NA
"Germany",1988,2.58840442120357,75.33,36438702.230806,NA,NA,NA
"Ghana",1988,0.47564869049384,56.89,429930.361954424,NA,NA,NA
